spotify_id,title,artist,album,release_date,popularity,0
2S9AH5wxvHSpU52waIvHjw,Mehbooba,Dino James,Mehbooba,2022-05-04,29.0,
6sjUwArVl8dM2nB58rGKF9,Sabka Rapper Ek,Dino James,D,2022-05-24,27.0,
5kunWXz0tkOXLSgU3ptrlN,Khaas,Dino James,Khaas,2021-07-03,31.0,
4Bumf17NDx8iNOYUSKXaGu,Dil Kahi Ka,Dino James,Dil Kahi Ka,2020-10-10,32.0,
0wcvsHMMrwA1Ah47RDJpdj,Farak,DIVINE,Farak,2017-02-17,42.0,
1NT0G4gcwljQk6o71vupty,Azadi,"Dub Sharma, DIVINE",Gully Boy (Original Motion Picture Soundtrack),2019-01-24,50.0,
6Kynli1iHBqJRWUCohcV9h,Kaam 25,DIVINE,Kaam 25 (Sacred Games),2018-06-22,60.0,
1VYMsDdZ3toHtlZxAGS95n,Kohinoor,DIVINE,Kohinoor,2019-10-09,52.0,
2e1tIq1uwyKO2oeLQOqaXs,One Side,DIVINE,One Side,2018-04-05,47.0,
4oKcFaWmBSF3SGGYo4qq6R,Teesri Manzil,DIVINE,Teesri Manzil,2018-12-14,46.0,
04i2uLdBAfCSYjQzZqspDa,Jungli Sher,DIVINE,Jungli Sher,2016-03-18,32.0,
4LCNHHhUJB0rqvmlxwstmN,Vibe Hai,"DIVINE, Aavrutti, D'Evil, Shah Rule",Kohinoor,2019-10-09,48.0,
0d4PvVcC2GxJoVm76a5GQH,Wallah,"DIVINE, Shah Rule",Kohinoor,2019-10-09,42.0,
7zKzD5wM18bQSiJTAxTpwH,Mirchi,"DIVINE, MC Altaf, Stylo G, Phenom",Punya Paap,2020-12-03,50.0,
3zIhQR5cyxpVn8WpEivBCr,Punya Paap,DIVINE,Punya Paap,2020-12-03,44.0,
6AooRgSRDzbCYL4NZ4RCjU,Chal Bombay,DIVINE,Kohinoor,2019-10-09,55.0,
5MFE5mAhpVUtQyQUQjVIVo,Remand,"DIVINE, Dave East",Kohinoor,2019-10-09,32.0,
5mapRMXIuXlQiPFfDy10tq,Too Hype,"DIVINE, Sid Sriram, Sanjoy",Kohinoor,2019-10-09,34.0,
2gNMXJDKRmKWuevBGjN8wo,3:59 AM,DIVINE,Punya Paap,2020-12-03,65.0,
3DXP7pJNl1AmAUl90CAGe0,Gandhi Money,DIVINE,Kohinoor,2019-10-09,46.0,
7kgNsbE5PjQq1eqinaZvEN,Akela,"DIVINE, Phenom",Akela,2022-10-28,46.0,
1xSCr5uIndaHKFdO4s2V6B,Satya,DIVINE,Punya Paap,2020-12-03,59.0,
4S7yPbt2aW7N3pthEpcP7S,Gunehgar,DIVINE,Gunehgar,2022-11-10,46.0,
3l84vjvLnKIfqLLdZXKq2B,Disco Rap,"DIVINE, D'Evil, MC Altaf",Punya Paap,2020-12-03,45.0,
